dataset,h_s_fixed
cora,0.616360068321228
citeseer,0.3908720016479492
pubmed,0.37919557094573975
amazon-photo,0.7559319734573364
amazon-computer,0.7627970576286316
coauthor-cs,0.7212861180305481
wikics,0.6365810036659241
roman-empire,0.5270678997039795
amazon-ratings,0.5255690813064575
minesweeper,0.7069798111915588
tolokers,0.5451039671897888
questions,0.5576367378234863
squirrel-filtered,0.6029514074325562
chameleon-filtered,0.5366737246513367
actor,0.38410353660583496
texas-4-classes,0.5157668590545654
cornell,0.36764174699783325
wisconsin,0.46865883469581604
