dataset,adj_homo,agg_homo_soft,attr_homo,class_homo,cls_ctrl_feat_homo,den_homo,edge_homo,h_f,h_s,label_info,localsim_cos_homo,localsim_euc_homo,neibh_homo,node_homo,two_hop_homo
actor,0.1271892488002777,0.6794736385345459,8412076.0,0.006440436467528343,0.20936989784240723,0.500241756439209,0.314455509185791,0.0,0.24571923911571503,0.0001728534698486328,0.2514813244342804,-30.34052848815918,0.30413949489593506,0.21993501484394073,0.21324028074741364
amazon-computer,0.6909786462783813,0.9879976749420166,-3948855.0,0.7001734375953674,0.09693770110607147,0.5016894340515137,0.7832766771316528,1.0,0.06940840929746628,0.5279072523117065,0.17876046895980835,-27.799165725708008,0.6640996932983398,0.8016897439956665,0.5666596293449402
amazon-photo,0.7917094826698303,0.9882352352142334,-625464.6875,0.7722325921058655,0.10862760990858078,0.5038624405860901,0.8326200246810913,0.9099999666213989,0.12242218106985092,0.666228175163269,0.1908007562160492,-27.74947738647461,0.7261892557144165,0.8492580056190491,0.658905565738678
amazon-ratings,0.2402220517396927,0.594503927230835,11238128.0,0.12660527229309082,0.3246432840824127,0.5000887513160706,0.4524388313293457,1.0,0.21222075819969177,0.03976750373840332,0.3296266496181488,-17.289470672607422,0.5129011273384094,0.37570720911026,0.36866500973701477
chameleon-filtered,0.07597282528877258,0.7168539762496948,-6966120.0,0.04437711089849472,-0.03600192815065384,0.4947924017906189,0.2726099491119385,0.0,0.17879804968833923,0.013897538185119629,0.16567453742027283,-56.44379425048828,0.4126969873905182,0.24405889213085175,0.27525806427001953
citeseer,0.7588032484054565,0.9825668334960938,-5250112.0,0.6267309784889221,0.5896957516670227,0.5017896294593811,0.8062907457351685,0.7699999809265137,0.1937836855649948,0.4507601261138916,0.4715055525302887,-49.1759147644043,0.8124697208404541,0.7165876626968384,0.6944515109062195
coauthor-cs,0.8062314391136169,0.9993860721588135,3277513.75,0.7546911239624023,0.2535577714443207,0.5009397864341736,0.827378511428833,0.4399999976158142,0.05319172143936157,0.6466625928878784,0.3480331599712372,-95.84010314941406,0.729343831539154,0.8320007920265198,0.6908060312271118
cora,0.8178210258483887,0.9903987646102905,14344052.0,0.7657180428504944,0.3523019552230835,0.502086877822876,0.8487635850906372,0.14999999105930328,0.11907096207141876,0.5903741121292114,0.33603715896606445,-36.143428802490234,0.8137686848640442,0.825157880783081,0.7582589387893677
cornell,0.0828402042388916,0.8579235076904297,8834963.0,0.0382513664662838,0.40263593196868896,0.4889124631881714,0.3405698835849762,0.0,0.2878209948539734,0.15569722652435303,0.37887492775917053,-34.261451721191406,0.5366525053977966,0.11095360666513443,0.3562084138393402
minesweeper,0.12091778963804245,,1855395.375,,,,0.7185036540031433,0.5,0.14992870390415192,8.666515350341797e-05,0.20788803696632385,-2.4928383827209473,0.7999359369277954,0.6829008460044861,0.6808589100837708
pubmed,0.7431498765945435,0.9310130953788758,17585426.0,0.6641403436660767,0.4061867296695709,0.5002604722976685,0.8383426666259766,1.0,0.29624471068382263,0.40928447246551514,0.4437098503112793,-18.790067672729492,0.8203290700912476,0.792412281036377,0.7483265399932861
questions,0.1552494317293167,,-10866491.0,,,,0.8616127371788025,0.7199999690055847,0.22570264339447021,0.0006699562072753906,0.37533852458000183,-13.61756706237793,0.9342104196548462,0.897985577583313,0.9097158908843994
roman-empire,0.2212347388267517,0.9995490550994873,21955942.0,0.02082376927137375,0.34477221965789795,0.49995625019073486,0.2909078598022461,0.12999999523162842,0.12068048864603043,0.11014282703399658,0.31208401918411255,-15.960809707641602,0.26609766483306885,0.0460478812456131,0.06688583642244339
squirrel-filtered,0.03152193874120712,0.4934772253036499,2271413.0,0.03980144113302231,0.3151372969150543,0.49171632528305054,0.22549600899219513,0.0,0.13794413208961487,0.0013257265090942383,0.14320684969425201,-46.149314880371094,0.31802159547805786,0.1904737502336502,0.22309395670890808
texas-4-classes,0.02583897113800049,0.6939890384674072,8778490.0,0.0,0.30022355914115906,0.48456791043281555,0.29284751415252686,0.0,0.1794177144765854,0.19234836101531982,0.37001582980155945,-34.699981689453125,0.6552311778068542,0.05666450783610344,0.4963344633579254
tolokers,0.10274744033813477,,-12215493.0,,,,0.5990638136863708,1.0,0.219366654753685,0.006628155708312988,0.23374196887016296,-3.357452154159546,0.7388005256652832,0.634446918964386,0.6510487794876099
wikics,0.5901487469673157,0.9674387693405151,-10573036.0,0.5675399303436279,0.36294880509376526,0.5024284720420837,0.6634553074836731,1.0,0.09225891530513763,0.36915576457977295,0.4899046719074249,-14.746075630187988,0.45932838320732117,0.6773914694786072,0.37321195006370544
wisconsin,0.08256334811449051,0.768924355506897,31361.50390625,0.046071723103523254,0.281327486038208,0.4935978949069977,0.3570807874202728,0.0,0.2036016881465912,0.13109707832336426,0.33918696641921997,-38.41962432861328,0.5675299763679504,0.15522411465644836,0.39090150594711304
