,num runs,val accuracy mean,val accuracy std,test accuracy mean,test accuracy std,val accuracy values,test accuracy values,test_metric_cls_lst,best steps,device,name,save_result,save_dir,dataset,symmetric,sample_max,base_classifier,homophily_metric,syn_num_node,syn_num_class,syn_num_degree,syn_feat_dim,syn_h_l,syn_h_s,syn_h_f,syn_train_ratio,syn_test_ratio,seed,est_h_l,est_h_s,est_h_f,topk,toprank,eval_class_wise,model,num_layers,hidden_dim,hidden_dim_multiplier,num_heads,normalization,residual,dropout,weight_decay,early_stopping,lr,num_steps,num_warmup_steps,warmup_proportion,use_sgc_features,use_identity_features,use_adjacency_features,do_not_use_original_features,num_runs,amp,verbose,datetime
0,1,0.800000011920929,,0.7760000228881836,,[0.800000011920929],[0.7760000228881836],[[]],[191],cuda:0,GCN,1,experiments/result.csv,syn,0,500,kernel_reg1,agg_homo_soft,1000,3,1 10,64,0.5,0.5,0.0,0.5,0.25,0,0,0,0,1,-1,0,GCN,2,128,1,8,LayerNorm,residual,0.2,0.001,40,3e-05,200,,0,False,False,False,False,1,False,False,"08/26/2026, 15:30:23"
0,10,0.8760147750377655,0.012982310461842863,0.8591497361660003,0.010228702998596162,"[0.8763837814331055, 0.8671587109565735, 0.9040590524673462, 0.8560885787010193, 0.8653136491775513, 0.88376384973526, 0.8819188475608826, 0.8708487153053284, 0.874538779258728, 0.8800737857818604]","[0.8650646805763245, 0.850277304649353, 0.8428835868835449, 0.8761552572250366, 0.8632162809371948, 0.8632162809371948, 0.8669131398200989, 0.8632162809371948, 0.8521257042884827, 0.8484288454055786]","[[], [], [], [], [], [], [], [], [], []]","[16, 19, 19, 13, 21, 13, 13, 20, 11, 16]",cuda:0,GCN,1,experiments/result.csv,cora,0,500,kernel_reg1,agg_homo_soft,1000,3,5 6,10,0.7,0.8,0.5,0.5,0.25,0,0,0,0,1,-1,0,GCN,2,256,1,8,LayerNorm,residual,0.4,0.001,40,0.001,1000,,0,False,False,False,False,10,False,False,"08/26/2026, 15:31:53"
0,10,0.6905904173851013,0.022345134516305955,0.6872458398342133,0.02065320616719539,"[0.6734317541122437, 0.6439114212989807, 0.7011070251464844, 0.6660516858100891, 0.7103320956230164, 0.7121771574020386, 0.6974169611930847, 0.7084870934486389, 0.6992620229721069, 0.6937269568443298]","[0.6691312193870544, 0.6913123726844788, 0.6672828197479248, 0.7134935259819031, 0.6931608319282532, 0.6635859608650208, 0.7024029493331909, 0.7227357029914856, 0.6765249371528625, 0.6728280782699585]","[[], [], [], [], [], [], [], [], [], []]","[16, 15, 13, 15, 25, 11, 28, 17, 13, 17]",cuda:0,ResNet,1,experiments/result.csv,cora,0,500,kernel_reg1,agg_homo_soft,1000,3,5 6,10,0.7,0.8,0.5,0.5,0.25,0,0,0,0,1,-1,0,ResNet,2,256,1,8,LayerNorm,residual,0.4,0.001,40,0.001,1000,,0,False,False,False,False,10,False,False,"08/26/2026, 15:34:39"
0,10,0.8760147750377655,0.012982310461842863,0.8591497361660003,0.010228702998596162,"[0.8763837814331055, 0.8671587109565735, 0.9040590524673462, 0.8560885787010193, 0.8653136491775513, 0.88376384973526, 0.8819188475608826, 0.8708487153053284, 0.874538779258728, 0.8800737857818604]","[0.8650646805763245, 0.850277304649353, 0.8428835868835449, 0.8761552572250366, 0.8632162809371948, 0.8632162809371948, 0.8669131398200989, 0.8632162809371948, 0.8521257042884827, 0.8484288454055786]","[[], [], [], [], [], [], [], [], [], []]","[16, 19, 19, 13, 21, 13, 13, 20, 11, 16]",cuda:0,GCN,1,experiments/result.csv,cora,0,500,kernel_reg1,agg_homo_soft,1000,3,5 6,10,0.7,0.8,0.5,0.5,0.25,0,0,0,0,1,-1,0,GCN,2,256,1,8,LayerNorm,residual,0.4,0.001,40,0.001,1000,,0,False,False,False,False,10,False,False,"08/26/2026, 15:34:50"
0,10,0.8791513025760651,0.0132262094004755,0.8682070314884186,0.012688645047828543,"[0.874538779258728, 0.8726937174797058, 0.8985239863395691, 0.8634686470031738, 0.8579335808753967, 0.8966789841651917, 0.8892989158630371, 0.8763837814331055, 0.8782287836074829, 0.88376384973526]","[0.8521257042884827, 0.8687615394592285, 0.878003716468811, 0.8909426927566528, 0.8632162809371948, 0.8724583983421326, 0.8669131398200989, 0.8761552572250366, 0.8669131398200989, 0.846580445766449]","[[], [], [], [], [], [], [], [], [], []]","[36, 22, 21, 28, 41, 15, 14, 48, 18, 14]",cuda:0,SAGE,1,experiments/result.csv,cora,0,500,kernel_reg1,agg_homo_soft,1000,3,5 6,10,0.7,0.8,0.5,0.5,0.25,0,0,0,0,1,-1,0,SAGE,2,256,1,8,LayerNorm,residual,0.4,0.001,40,0.001,1000,,0,False,False,False,False,10,False,False,"08/26/2026, 15:35:00"
0,10,0.8824723362922668,0.01110591662339912,0.8680221855640411,0.017101705282109483,"[0.8690037131309509, 0.874538779258728, 0.9003689885139465, 0.8690037131309509, 0.874538779258728, 0.892988920211792, 0.8948339819908142, 0.8856088519096375, 0.8782287836074829, 0.8856088519096375]","[0.8576709628105164, 0.8632162809371948, 0.8687615394592285, 0.8946395516395569, 0.874306857585907, 0.874306857585907, 0.8650646805763245, 0.8872458338737488, 0.8632162809371948, 0.8317930102348328]","[[], [], [], [], [], [], [], [], [], []]","[10, 11, 14, 17, 18, 15, 15, 13, 39, 8]",cuda:0,GAT,1,experiments/result.csv,cora,0,500,kernel_reg1,agg_homo_soft,1000,3,5 6,10,0.7,0.8,0.5,0.5,0.25,0,0,0,0,1,-1,0,GAT,2,256,1,8,LayerNorm,residual,0.4,0.001,40,0.001,1000,,0,False,False,False,False,10,False,False,"08/26/2026, 15:35:12"
0,10,0.6905904173851013,0.022345134516305955,0.6872458398342133,0.02065320616719539,"[0.6734317541122437, 0.6439114212989807, 0.7011070251464844, 0.6660516858100891, 0.7103320956230164, 0.7121771574020386, 0.6974169611930847, 0.7084870934486389, 0.6992620229721069, 0.6937269568443298]","[0.6691312193870544, 0.6913123726844788, 0.6672828197479248, 0.7134935259819031, 0.6931608319282532, 0.6635859608650208, 0.7024029493331909, 0.7227357029914856, 0.6765249371528625, 0.6728280782699585]","[[], [], [], [], [], [], [], [], [], []]","[16, 15, 13, 15, 25, 11, 28, 17, 13, 17]",cuda:0,ResNet,1,experiments/result.csv,cora,0,500,kernel_reg1,agg_homo_soft,1000,3,5 6,10,0.7,0.8,0.5,0.5,0.25,0,0,0,0,1,-1,0,ResNet,2,256,1,8,LayerNorm,residual,0.4,0.001,40,0.001,1000,,0,False,False,False,False,10,False,False,"08/26/2026, 15:38:00"
0,10,0.8760147750377655,0.012982310461842863,0.8591497361660003,0.010228702998596162,"[0.8763837814331055, 0.8671587109565735, 0.9040590524673462, 0.8560885787010193, 0.8653136491775513, 0.88376384973526, 0.8819188475608826, 0.8708487153053284, 0.874538779258728, 0.8800737857818604]","[0.8650646805763245, 0.850277304649353, 0.8428835868835449, 0.8761552572250366, 0.8632162809371948, 0.8632162809371948, 0.8669131398200989, 0.8632162809371948, 0.8521257042884827, 0.8484288454055786]","[[], [], [], [], [], [], [], [], [], []]","[16, 19, 19, 13, 21, 13, 13, 20, 11, 16]",cuda:0,GCN,1,experiments/result.csv,cora,0,500,kernel_reg1,agg_homo_soft,1000,3,5 6,10,0.7,0.8,0.5,0.5,0.25,0,0,0,0,1,-1,0,GCN,2,256,1,8,LayerNorm,residual,0.4,0.001,40,0.001,1000,,0,False,False,False,False,10,False,False,"08/26/2026, 15:38:11"
0,10,0.8791513025760651,0.0132262094004755,0.8682070314884186,0.012688645047828543,"[0.874538779258728, 0.8726937174797058, 0.8985239863395691, 0.8634686470031738, 0.8579335808753967, 0.8966789841651917, 0.8892989158630371, 0.8763837814331055, 0.8782287836074829, 0.88376384973526]","[0.8521257042884827, 0.8687615394592285, 0.878003716468811, 0.8909426927566528, 0.8632162809371948, 0.8724583983421326, 0.8669131398200989, 0.8761552572250366, 0.8669131398200989, 0.846580445766449]","[[], [], [], [], [], [], [], [], [], []]","[36, 22, 21, 28, 41, 15, 14, 48, 18, 14]",cuda:0,SAGE,1,experiments/result.csv,cora,0,500,kernel_reg1,agg_homo_soft,1000,3,5 6,10,0.7,0.8,0.5,0.5,0.25,0,0,0,0,1,-1,0,SAGE,2,256,1,8,LayerNorm,residual,0.4,0.001,40,0.001,1000,,0,False,False,False,False,10,False,False,"08/26/2026, 15:38:22"
0,10,0.8824723362922668,0.01110591662339912,0.8680221855640411,0.017101705282109483,"[0.8690037131309509, 0.874538779258728, 0.9003689885139465, 0.8690037131309509, 0.874538779258728, 0.892988920211792, 0.8948339819908142, 0.8856088519096375, 0.8782287836074829, 0.8856088519096375]","[0.8576709628105164, 0.8632162809371948, 0.8687615394592285, 0.8946395516395569, 0.874306857585907, 0.874306857585907, 0.8650646805763245, 0.8872458338737488, 0.8632162809371948, 0.8317930102348328]","[[], [], [], [], [], [], [], [], [], []]","[10, 11, 14, 17, 18, 15, 15, 13, 39, 8]",cuda:0,GAT,1,experiments/result.csv,cora,0,500,kernel_reg1,agg_homo_soft,1000,3,5 6,10,0.7,0.8,0.5,0.5,0.25,0,0,0,0,1,-1,0,GAT,2,256,1,8,LayerNorm,residual,0.4,0.001,40,0.001,1000,,0,False,False,False,False,10,False,False,"08/26/2026, 15:38:34"
